Id,Src_IP,Src_Port,Dst_IP,Dst_Port,Protocol,Timestamp,Flow_Duration,Tot_Fwd_Pkts,Tot_Bwd_Pkts,TotLen_Fwd_Pkts,TotLen_Bwd_Pkts,Fwd_Pkt_Len_Max,Fwd_Pkt_Len_Min,Fwd_Pkt_Len_Mean,Fwd_Pkt_Len_Std,Bwd_Pkt_Len_Max,Bwd_Pkt_Len_Min,Bwd_Pkt_Len_Mean,Bwd_Pkt_Len_Std,Flow_Byts/s,Flow_Pkts/s,Flow_IAT_Mean,Flow_IAT_Std,Flow_IAT_Max,Flow_IAT_Min,Fwd_IAT_Tot,Fwd_IAT_Mean,Fwd_IAT_Std,Fwd_IAT_Max,Fwd_IAT_Min,Bwd_IAT_Tot,Bwd_IAT_Mean,Bwd_IAT_Std,Bwd_IAT_Max,Bwd_IAT_Min,Fwd_PSH_Flags,Bwd_PSH_Flags,Fwd_URG_Flags,Bwd_URG_Flags,Fwd_Header_Len,Bwd_Header_Len,Fwd_Pkts/s,Bwd_Pkts/s,Pkt_Len_Min,Pkt_Len_Max,Pkt_Len_Mean,Pkt_Len_Std,Pkt_Len_Var,FIN_Flag_Cnt,SYN_Flag_Cnt,RST_Flag_Cnt,PSH_Flag_Cnt,ACK_Flag_Cnt,URG_Flag_Cnt,CWE_Flag_Count,ECE_Flag_Cnt,Down/Up_Ratio,Pkt_Size_Avg,Fwd_Seg_Size_Avg,Bwd_Seg_Size_Avg,Fwd_Byts/b_Avg,Fwd_Pkts/b_Avg,Fwd_Blk_Rate_Avg,Bwd_Byts/b_Avg,Bwd_Pkts/b_Avg,Bwd_Blk_Rate_Avg,Subflow_Fwd_Pkts,Subflow_Fwd_Byts,Subflow_Bwd_Pkts,Subflow_Bwd_Byts,Init_Fwd_Win_Byts,Init_Bwd_Win_Byts,Fwd_Act_Data_Pkts,Fwd_Seg_Size_Min,Active_Mean,Active_Std,Active_Max,Active_Min,Idle_Mean,Idle_Std,Idle_Max,Idle_Min,Label,Cat,S_octet1,S_octet2,S_octet3,S_octet4,D_octet1,D_octet2,D_octet3,D_octet4
0,192.168.0.13,10000,192.168.0.16,10101,17,25/07/2019 3:25,75,1,1,982,1430,982,982,982,0,1430,1430,1430,0,32160000,26666.66667,75,0,75,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,13333.33333,13333.33333,982,1430,1280.666667,258.6529206,66901.33333,0,0,0,0,0,0,0,0,1,1921,982,1430,0,0,0,0,0,0,1,982,1,1430,-1,-1,1,0,0,0,0,0,75,0,75,75,Anomaly,Mirai,192,168,0,13,192,168,0,16
1,222.160.179.132,2179,192.168.0.13,554,6,26/05/2019 22:11,5310,1,2,0,0,0,0,0,0,0,0,0,0,0,564.9717514,2655,2261.327486,4254,1056,0,0,0,0,0,5310,5310,0,5310,5310,0,0,0,0,20,44,188.3239171,376.6478343,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,2,0,-1,14600,0,0,0,0,0,0,2655,2261.327486,4254,1056,Anomaly,DoS,222,160,179,132,192,168,0,13
2,192.168.0.16,52727,192.168.0.13,9020,6,11/07/2019 1:24,141,0,3,0,2806,0,0,0,0,1388,30,935.3333333,784.0416656,19900709.22,21276.59574,70.5,0.707106781,71,70,0,0,0,0,0,141,70.5,0.707106781,71,70,0,0,0,0,0,96,0,21276.59574,30,1388,1048.5,679,461041,0,0,0,0,1,0,0,0,0,1398,0,935.3333333,0,0,0,0,0,0,0,0,3,2806,-1,1869,0,0,0,0,0,0,70.5,0.707106781,71,70,Anomaly,Scan,192,168,0,16,192,168,0,13
5,192.168.0.24,41980,101.79.244.148,443,6,10/09/2019 1:39,157,2,1,0,0,0,0,0,0,0,0,0,0,0,19108.28025,78.5,6.363961031,83,74,74,74,0,74,74,0,0,0,0,0,0,0,0,0,64,32,12738.8535,6369.426752,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,-1,5840,0,0,0,0,0,0,78.5,6.363961031,83,74,Anomaly,Mirai,192,168,0,24,101,79,244,148
6,192.168.0.24,60175,210.89.164.90,8899,17,25/07/2019 3:21,139,20,1,640,32,32,32,32,0,32,32,32,0,4834532.374,151079.1367,6.95,1.66938375,10,4,132,6.947368421,1.71508614,10,4,0,0,0,0,0,0,0,0,0,160,8,143884.8921,7194.244604,32,32,32,0,0,0,0,0,0,0,0,0,0,0,33.52380952,32,32,0,0,0,0,0,0,20,640,1,32,-1,-1,20,0,0,0,0,0,6.95,1.66938375,10,4,Anomaly,Mirai,192,168,0,24,210,89,164,90
7,192.168.0.24,41467,58.225.75.83,443,6,11/07/2019 1:52,112,0,2,0,2896,0,0,0,0,1448,1448,1448,0,25857142.86,17857.14286,112,0,112,112,0,0,0,0,0,112,112,0,112,112,0,0,0,0,0,64,0,17857.14286,1448,1448,1448,0,0,0,0,0,0,1,0,0,0,0,2172,0,1448,0,0,0,0,0,0,0,0,2,2896,-1,155,0,0,0,0,0,0,112,0,112,112,Anomaly,Scan,192,168,0,24,58,225,75,83
8,192.168.0.13,60132,210.89.164.90,8899,17,25/07/2019 3:21,86,1,1,32,32,32,32,32,0,32,32,32,0,744186.0465,23255.81395,86,0,86,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,11627.90698,11627.90698,32,32,32,0,0,0,0,0,0,0,0,0,0,1,48,32,32,0,0,0,0,0,0,1,32,1,32,-1,-1,1,0,0,0,0,0,86,0,86,86,Anomaly,Mirai,192,168,0,13,210,89,164,90
9,111.149.163.151,7953,192.168.0.13,554,6,26/05/2019 22:20,6799,0,2,0,0,0,0,0,0,0,0,0,0,0,294.160906,6799,0,6799,6799,0,0,0,0,0,6799,6799,0,6799,6799,0,0,0,0,0,44,0,294.160906,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-1,14600,0,0,0,0,0,0,6799,0,6799,6799,Anomaly,DoS,111,149,163,151,192,168,0,13
10,192.168.0.24,10102,40.100.49.34,443,6,04/09/2019 3:58,54,2,3,0,4076,0,0,0,0,1460,1156,1358.666667,175.5144818,75481481.48,92592.59259,13.5,4.795831523,20,9,40,40,0,40,40,43,21.5,2.121320344,23,20,0,0,0,0,40,60,37037.03704,55555.55556,0,1460,922.6666667,724.3277343,524650.6667,0,0,0,0,1,0,0,0,1,1107.2,0,1358.666667,0,0,0,0,0,0,2,0,3,4076,-1,2048,0,0,0,0,0,0,13.5,4.795831523,20,9,Anomaly,Mirai,192,168,0,24,40,100,49,34
18,192.168.0.14,9021,192.168.0.17,49784,6,21/05/2019 4:56,120,1,1,30,1388,30,30,30,0,1388,1388,1388,0,11816666.67,16666.66667,120,0,120,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,8333.333333,8333.333333,30,1388,935.3333333,784.0416656,614721.3333,0,0,0,0,1,0,0,0,1,1403,30,1388,0,0,0,0,0,0,1,30,1,1388,-1,1869,1,0,0,0,0,0,120,0,120,120,Normal,Normal,192,168,0,13,192,168,0,16
19,192.168.0.15,9022,192.168.0.18,49784,6,22/05/2019 4:56,120,1,1,30,1388,30,30,30,0,1388,1388,1388,0,11816666.67,16666.66667,120,0,120,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,8333.333333,8333.333333,30,1388,935.3333333,784.0416656,614721.3333,0,0,0,0,1,0,0,0,1,1403,30,1388,0,0,0,0,0,0,1,30,1,1388,-1,1869,1,0,0,0,0,0,120,0,120,120,Normal,Normal,192,168,0,13,192,168,0,16
20,192.168.0.16,9023,192.168.0.19,49784,6,23/05/2019 4:56,120,1,1,30,1388,30,30,30,0,1388,1388,1388,0,11816666.67,16666.66667,120,0,120,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,8333.333333,8333.333333,30,1388,935.3333333,784.0416656,614721.3333,0,0,0,0,1,0,0,0,1,1403,30,1388,0,0,0,0,0,0,1,30,1,1388,-1,1869,1,0,0,0,0,0,120,0,120,120,Normal,Normal,192,168,0,13,192,168,0,16
3,192.168.0.16,52964,192.168.0.13,9020,6,04/09/2019 3:58,151,0,2,0,2776,0,0,0,0,1388,1388,1388,0,18384105.96,13245.03311,151,0,151,151,0,0,0,0,0,151,151,0,151,151,0,0,0,0,0,64,0,13245.03311,1388,1388,1388,0,0,0,0,0,0,1,0,0,0,0,2082,0,1388,0,0,0,0,0,0,0,0,2,2776,-1,1869,0,0,0,0,0,0,151,0,151,151,Anomaly,Mirai,192,168,0,16,192,168,0,13
4,192.168.0.1,36763,239.255.255.250,1900,17,10/09/2019 1:41,153,2,1,886,420,452,434,443,12.72792206,420,420,420,0,8535947.712,19607.84314,76.5,0.707106781,77,76,76,76,0,76,76,0,0,0,0,0,0,0,0,0,16,8,13071.89542,6535.947712,420,452,431.5,15.17673658,230.3333333,0,0,0,0,0,0,0,0,0,575.3333333,443,420,0,0,0,0,0,0,2,886,1,420,-1,-1,2,0,0,0,0,0,76.5,0.707106781,77,76,Anomaly,Mirai,192,168,0,1,239,255,255,250
21,192.168.0.17,9024,192.168.0.20,49784,6,24/05/2019 4:56,120,1,1,30,1388,30,30,30,0,1388,1388,1388,0,11816666.67,16666.66667,120,0,120,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,8333.333333,8333.333333,30,1388,935.3333333,784.0416656,614721.3333,0,0,0,0,1,0,0,0,1,1403,30,1388,0,0,0,0,0,0,1,30,1,1388,-1,1869,1,0,0,0,0,0,120,0,120,120,Normal,Normal,192,168,0,13,192,168,0,16
22,192.168.0.18,9025,192.168.0.21,49784,6,25/05/2019 4:56,120,1,1,30,1388,30,30,30,0,1388,1388,1388,0,11816666.67,16666.66667,120,0,120,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,8333.333333,8333.333333,30,1388,935.3333333,784.0416656,614721.3333,0,0,0,0,1,0,0,0,1,1403,30,1388,0,0,0,0,0,0,1,30,1,1388,-1,1869,1,0,0,0,0,0,120,0,120,120,Normal,Normal,192,168,0,13,192,168,0,16
23,192.168.0.19,9026,192.168.0.22,49784,6,26/05/2019 4:56,120,1,1,30,1388,30,30,30,0,1388,1388,1388,0,11816666.67,16666.66667,120,0,120,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,8333.333333,8333.333333,30,1388,935.3333333,784.0416656,614721.3333,0,0,0,0,1,0,0,0,1,1403,30,1388,0,0,0,0,0,0,1,30,1,1388,-1,1869,1,0,0,0,0,0,120,0,120,120,Normal,Normal,192,168,0,13,192,168,0,16
24,192.168.0.20,9027,192.168.0.23,49784,6,27/05/2019 4:56,120,1,1,30,1388,30,30,30,0,1388,1388,1388,0,11816666.67,16666.66667,120,0,120,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,8333.333333,8333.333333,30,1388,935.3333333,784.0416656,614721.3333,0,0,0,0,1,0,0,0,1,1403,30,1388,0,0,0,0,0,0,1,30,1,1388,-1,1869,1,0,0,0,0,0,120,0,120,120,Normal,Normal,192,168,0,13,192,168,0,16
25,192.168.0.21,9028,192.168.0.24,49784,6,28/05/2019 4:56,120,1,1,30,1388,30,30,30,0,1388,1388,1388,0,11816666.67,16666.66667,120,0,120,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,8333.333333,8333.333333,30,1388,935.3333333,784.0416656,614721.3333,0,0,0,0,1,0,0,0,1,1403,30,1388,0,0,0,0,0,0,1,30,1,1388,-1,1869,1,0,0,0,0,0,120,0,120,120,Normal,Normal,192,168,0,13,192,168,0,16
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
